"","GEO.NAME","ALT.GEO.CODE","VIS.MIN15","VIS.MIN15.ID","AGE4D","AGE4D.ID","SEX3","SEX3.ID","tech","V1","V2"
"274","Canada","01","Japanese",12,"15 to 24 years",2,"Male",2,1,85,0
"275","Canada","01","Japanese",12,"15 to 24 years",2,"Female",3,0,3240,6794.05709876543
"276","Canada","01","Japanese",12,"15 to 24 years",2,"Female",3,1,30,0
"277","Canada","01","Japanese",12,"25 to 64 years",3,"Total - Sex",1,0,35290,51482.2325021252
"278","Canada","01","Japanese",12,"25 to 64 years",3,"Total - Sex",1,1,2400,87743.2875
"279","Canada","01","Japanese",12,"25 to 64 years",3,"Male",2,0,14100,56500.2765957447
"280","Canada","01","Japanese",12,"25 to 64 years",3,"Male",2,1,1940,87422.5154639175
"281","Canada","01","Japanese",12,"25 to 64 years",3,"Female",3,0,21215,39427.0813103936
"282","Canada","01","Japanese",12,"25 to 64 years",3,"Female",3,1,460,33014.0434782609
"283","Canada","01","Japanese",12,"65 years and over",4,"Total - Sex",1,0,2520,7379.65674603175
"284","Canada","01","Japanese",12,"65 years and over",4,"Total - Sex",1,1,110,0
"285","Canada","01","Japanese",12,"65 years and over",4,"Male",2,0,1380,4274.65942028986
"286","Canada","01","Japanese",12,"65 years and over",4,"Male",2,1,90,0
"287","Canada","01","Japanese",12,"65 years and over",4,"Female",3,0,1155,4730.62337662338
"288","Canada","01","Japanese",12,"65 years and over",4,"Female",3,1,20,0
"289","Canada","01","Visible minority, n.i.e.",13,"Total - Age",1,"Total - Sex",1,0,66515,39025.1128316921
"290","Canada","01","Visible minority, n.i.e.",13,"Total - Age",1,"Total - Sex",1,1,3440,67458.7572674419
"291","Canada","01","Visible minority, n.i.e.",13,"Total - Age",1,"Male",2,0,31835,40087.4275168839
"292","Canada","01","Visible minority, n.i.e.",13,"Total - Age",1,"Male",2,1,2665,70224.4183864916
"293","Canada","01","Visible minority, n.i.e.",13,"Total - Age",1,"Female",3,0,34695,33878.5029543162
"294","Canada","01","Visible minority, n.i.e.",13,"Total - Age",1,"Female",3,1,770,45664.9155844156
"295","Canada","01","Visible minority, n.i.e.",13,"15 to 24 years",2,"Total - Sex",1,0,10375,9796.18265060241
