"","GEO.NAME","GEO.CODE","tech","V1","V2","V3"
"186","Temiskaming Shores","35584","Tech Occupation",135,135,0
"187","Timmins","35586","Non Tech Occupation",21790,11370,10275
"188","Timmins","35586","Tech Occupation",470,390,80
"189","Sault Ste. Marie","35590","Non Tech Occupation",37815,18580,18925
"190","Sault Ste. Marie","35590","Tech Occupation",1480,1085,395
"191","Thunder Bay","35595","Non Tech Occupation",61305,31020,30210
"192","Thunder Bay","35595","Tech Occupation",1625,1320,305
"193","Kenora","35598","Non Tech Occupation",8030,3950,3925
"194","Kenora","35598","Tech Occupation",125,85,50
"195","Manitoba","46","Non Tech Occupation",583745,302155,281515
"196","Manitoba","46","Tech Occupation",18465,14660,3820
"197","Winnipeg","46602","Non Tech Occupation",365035,184605,180590
"198","Winnipeg","46602","Tech Occupation",15575,12285,3300
"199","Portage la Prairie","46607","Non Tech Occupation",10155,5115,4810
"200","Portage la Prairie","46607","Tech Occupation",115,95,20
"201","Brandon","46610","Non Tech Occupation",26640,13600,12940
"202","Brandon","46610","Tech Occupation",450,365,75
"203","Thompson","46640","Non Tech Occupation",7285,3780,3275
"204","Thompson","46640","Tech Occupation",145,120,45
"205","Saskatchewan","47","Non Tech Occupation",504640,263995,240710
"206","Saskatchewan","47","Tech Occupation",12825,10170,2655
"207","Regina","47705","Non Tech Occupation",104745,52000,52950
"208","Regina","47705","Tech Occupation",5755,4210,1530
"209","Yorkton","47710","Non Tech Occupation",8825,4250,4360
"210","Yorkton","47710","Tech Occupation",245,205,40
"211","Moose Jaw","47715","Non Tech Occupation",16175,8100,7965
"212","Moose Jaw","47715","Tech Occupation",425,350,70
"213","Swift Current","47720","Non Tech Occupation",9080,4660,4140
"214","Swift Current","47720","Tech Occupation",140,130,10
"215","Saskatoon","47725","Non Tech Occupation",126765,64160,62450
"216","Saskatoon","47725","Tech Occupation",4220,3535,670
"217","North Battleford","47735","Non Tech Occupation",8840,4310,4275
"218","North Battleford","47735","Tech Occupation",65,45,0
"219","Prince Albert","47745","Non Tech Occupation",20185,9885,10085
"220","Prince Albert","47745","Tech Occupation",215,165,15
"221","Estevan","47750","Non Tech Occupation",6560,3435,2915
"222","Estevan","47750","Tech Occupation",95,80,10
"223","Alberta","48","Non Tech Occupation",1840375,972870,867520
"224","Alberta","48","Tech Occupation",88230,70845,17375
"225","Medicine Hat","48805","Non Tech Occupation",38670,20920,17705
"226","Medicine Hat","48805","Tech Occupation",620,535,85
"227","Brooks","48806","Non Tech Occupation",13480,7845,5545
"228","Brooks","48806","Tech Occupation",65,55,0
"229","Lethbridge","48810","Non Tech Occupation",51095,26785,24170
"230","Lethbridge","48810","Tech Occupation",1140,910,195
"231","Okotoks","48820","Non Tech Occupation",9460,4810,4570
"232","Okotoks","48820","Tech Occupation",540,425,65
"233","Calgary","48825","Non Tech Occupation",604165,310505,293730
"234","Calgary","48825","Tech Occupation",49300,39445,9855
"235","Canmore","48828","Non Tech Occupation",7670,3780,3610
"236","Canmore","48828","Tech Occupation",255,200,45
"237","Red Deer","48830","Non Tech Occupation",49455,26135,23120
"238","Red Deer","48830","Tech Occupation",1305,1045,225
"239","Camrose","48833","Non Tech Occupation",8360,4025,4045
"240","Camrose","48833","Tech Occupation",175,105,50
"241","Edmonton","48835","Non Tech Occupation",579180,301710,277435
"242","Edmonton","48835","Tech Occupation",27300,21885,5430
"243","Lloydminster","48840","Non Tech Occupation",16060,8730,7085
"244","Lloydminster","48840","Tech Occupation",315,290,40
"245","Cold Lake","48845","Non Tech Occupation",7045,3690,3055
"246","Cold Lake","48845","Tech Occupation",175,145,40
"247","Grande Prairie","48850","Non Tech Occupation",43695,24395,19145
"248","Grande Prairie","48850","Tech Occupation",920,755,125
"249","Wood Buffalo","48860","Non Tech Occupation",32590,18775,13555
"250","Wood Buffalo","48860","Tech Occupation",1475,1215,215
"251","Wetaskiwin","48865","Non Tech Occupation",5825,2955,2655
"252","Wetaskiwin","48865","Tech Occupation",80,70,0
"253","British Columbia / Colombie-Britannique","59","Non Tech Occupation",2105955,1081840,1024075
"254","British Columbia / Colombie-Britannique","59","Tech Occupation",87180,69605,17625
"255","Cranbrook","59905","Non Tech Occupation",12615,6465,5935
"256","Cranbrook","59905","Tech Occupation",250,175,60
"257","Penticton","59913","Non Tech Occupation",20640,10415,10050
"258","Penticton","59913","Tech Occupation",310,270,50
"259","Kelowna","59915","Non Tech Occupation",83570,42970,40560
"260","Kelowna","59915","Tech Occupation",2005,1635,365
"261","Vernon","59918","Non Tech Occupation",26910,13700,13020
"262","Vernon","59918","Tech Occupation",535,485,30
"263","Salmon Arm","59920","Non Tech Occupation",7675,3745,3695
"264","Salmon Arm","59920","Tech Occupation",170,115,55
"265","Kamloops","59925","Non Tech Occupation",49175,24805,24055
"266","Kamloops","59925","Tech Occupation",1450,1210,260
"267","Chilliwack","59930","Non Tech Occupation",39055,20505,18235
"268","Chilliwack","59930","Tech Occupation",995,640,345
"269","Abbotsford","59932","Non Tech Occupation",81385,42870,38430
"270","Abbotsford","59932","Tech Occupation",1770,1425,320
"271","Vancouver","59933","Non Tech Occupation",1088790,551520,537275
"272","Vancouver","59933","Tech Occupation",61685,49300,12385
"273","Squamish","59934","Non Tech Occupation",8710,4540,3990
"274","Squamish","59934","Tech Occupation",275,175,80
"275","Victoria","59935","Non Tech Occupation",172015,84720,87285
"276","Victoria","59935","Tech Occupation",9040,6950,2105
"277","Duncan","59937","Non Tech Occupation",19420,9770,9460
"278","Duncan","59937","Tech Occupation",370,315,50
"279","Nanaimo","59938","Non Tech Occupation",45520,23035,22405
"280","Nanaimo","59938","Tech Occupation",1180,940,210
"281","Parksville","59939","Non Tech Occupation",9720,4690,4870
"282","Parksville","59939","Tech Occupation",230,210,20
"283","Port Alberni","59940","Non Tech Occupation",11855,6455,5310
"284","Port Alberni","59940","Tech Occupation",100,70,10
"285","Courtenay","59943","Non Tech Occupation",23300,11740,11435
"286","Courtenay","59943","Tech Occupation",405,310,60
"287","Campbell River","59944","Non Tech Occupation",18485,9615,8565
"288","Campbell River","59944","Tech Occupation",240,190,30
"289","Powell River","59945","Non Tech Occupation",7410,3750,3490
"290","Powell River","59945","Tech Occupation",135,70,25
"291","Williams Lake","59950","Non Tech Occupation",10135,5325,4635
