"","GEO.NAME","ALT.GEO.CODE","EDUC15","EDUC15.ID","tech","V1","V2","pct","dum"
"164","Québec","24421","Secondary (high) school
diploma or equivalency
certificate",3,1,1555,1515,5.29072812991095,0
"165","Québec","24421","Apprenticeship or trades
certificate or diploma",5,1,1870,1805,6.30347476863978,0
"166","Québec","24421","College, CEGEP or other non-
university certificate or
diploma",8,1,10155,9950,34.747686397765,0
"167","Québec","24421","University certificate or
diploma below bachelor level",9,1,1245,1210,4.22559804435132,0
"168","Québec","24421","University certificate,
diploma or degree at bachelor
level or above",10,1,14295,14020,48.9610616378558,0
"169","Sainte-Marie","24423","No certificate, diploma or
degree",2,1,0,0,0,0
"170","Sainte-Marie","24423","Secondary (high) school
diploma or equivalency
certificate",3,1,10,10,3.77358490566038,0
"171","Sainte-Marie","24423","Apprenticeship or trades
certificate or diploma",5,1,65,40,15.0943396226415,0
"172","Sainte-Marie","24423","College, CEGEP or other non-
university certificate or
diploma",8,1,65,75,28.3018867924528,0
"173","Sainte-Marie","24423","University certificate or
diploma below bachelor level",9,1,30,10,3.77358490566038,0
"174","Sainte-Marie","24423","University certificate,
diploma or degree at bachelor
level or above",10,1,145,130,49.0566037735849,0
"175","Saint-Georges","24428","No certificate, diploma or
degree",2,1,0,0,0,0
"176","Saint-Georges","24428","Secondary (high) school
diploma or equivalency
certificate",3,1,20,0,0,0
"177","Saint-Georges","24428","Apprenticeship or trades
certificate or diploma",5,1,60,60,13.7931034482759,0
"178","Saint-Georges","24428","College, CEGEP or other non-
university certificate or
diploma",8,1,210,230,52.8735632183908,0
"179","Saint-Georges","24428","University certificate or
diploma below bachelor level",9,1,10,10,2.29885057471264,0
"180","Saint-Georges","24428","University certificate,
diploma or degree at bachelor
level or above",10,1,125,135,31.0344827586207,0
"181","Thetford Mines","24430","No certificate, diploma or
degree",2,1,0,0,0,0
"182","Thetford Mines","24430","Secondary (high) school
diploma or equivalency
certificate",3,1,40,30,11.5384615384615,0
"183","Thetford Mines","24430","Apprenticeship or trades
certificate or diploma",5,1,25,35,13.4615384615385,0
"184","Thetford Mines","24430","College, CEGEP or other non-
university certificate or
diploma",8,1,130,120,46.1538461538462,0
"185","Thetford Mines","24430","University certificate or
diploma below bachelor level",9,1,0,0,0,0
"186","Thetford Mines","24430","University certificate,
diploma or degree at bachelor
level or above",10,1,90,75,28.8461538461538,0
"187","Sherbrooke","24433","No certificate, diploma or
degree",2,1,30,20,0.451467268623025,0
"188","Sherbrooke","24433","Secondary (high) school
diploma or equivalency
certificate",3,1,295,310,6.99774266365688,0
"189","Sherbrooke","24433","Apprenticeship or trades
certificate or diploma",5,1,355,335,7.56207674943567,0
"190","Sherbrooke","24433","College, CEGEP or other non-
university certificate or
diploma",8,1,1570,1560,35.2144469525959,0
"191","Sherbrooke","24433","University certificate or
diploma below bachelor level",9,1,140,120,2.70880361173815,0
"192","Sherbrooke","24433","University certificate,
diploma or degree at bachelor
level or above",10,1,2115,2085,47.0654627539503,0
"193","Cowansville","24437","No certificate, diploma or
degree",2,1,0,0,0,0
"194","Cowansville","24437","Secondary (high) school
diploma or equivalency
certificate",3,1,30,30,30,0
"195","Cowansville","24437","Apprenticeship or trades
certificate or diploma",5,1,0,0,0,0
"196","Cowansville","24437","College, CEGEP or other non-
university certificate or
diploma",8,1,30,30,30,0
"197","Cowansville","24437","University certificate or
diploma below bachelor level",9,1,10,0,0,0
"198","Cowansville","24437","University certificate,
diploma or degree at bachelor
level or above",10,1,20,40,40,0
"199","Victoriaville","24440","No certificate, diploma or
degree",2,1,10,10,1.61290322580645,0
"200","Victoriaville","24440","Secondary (high) school
diploma or equivalency
certificate",3,1,90,80,12.9032258064516,0
"201","Victoriaville","24440","Apprenticeship or trades
certificate or diploma",5,1,65,60,9.67741935483871,0
"202","Victoriaville","24440","College, CEGEP or other non-
university certificate or
diploma",8,1,265,240,38.7096774193548,0
"203","Victoriaville","24440","University certificate or
diploma below bachelor level",9,1,0,20,3.2258064516129,0
"204","Victoriaville","24440","University certificate,
diploma or degree at bachelor
level or above",10,1,225,210,33.8709677419355,0
"205","Trois-Rivières","24442","No certificate, diploma or
degree",2,1,30,40,1.51228733459357,0
"206","Trois-Rivières","24442","Secondary (high) school
diploma or equivalency
certificate",3,1,190,185,6.99432892249527,0
"207","Trois-Rivières","24442","Apprenticeship or trades
certificate or diploma",5,1,315,295,11.1531190926276,0
"208","Trois-Rivières","24442","College, CEGEP or other non-
university certificate or
diploma",8,1,1005,970,36.6729678638941,0
"209","Trois-Rivières","24442","University certificate or
diploma below bachelor level",9,1,110,100,3.78071833648393,0
"210","Trois-Rivières","24442","University certificate,
diploma or degree at bachelor
level or above",10,1,1080,1055,39.8865784499055,0
"211","Shawinigan","24444","No certificate, diploma or
degree",2,1,10,20,3.7037037037037,0
"212","Shawinigan","24444","Secondary (high) school
diploma or equivalency
certificate",3,1,85,65,12.037037037037,0
"213","Shawinigan","24444","Apprenticeship or trades
certificate or diploma",5,1,65,65,12.037037037037,0
"214","Shawinigan","24444","College, CEGEP or other non-
university certificate or
diploma",8,1,190,195,36.1111111111111,0
"215","Shawinigan","24444","University certificate or
diploma below bachelor level",9,1,10,20,3.7037037037037,0
"216","Shawinigan","24444","University certificate,
diploma or degree at bachelor
level or above",10,1,180,175,32.4074074074074,0
"217","Drummondville","24447","No certificate, diploma or
degree",2,1,10,30,2.16606498194946,0
"218","Drummondville","24447","Secondary (high) school
diploma or equivalency
certificate",3,1,80,60,4.33212996389892,0
"219","Drummondville","24447","Apprenticeship or trades
certificate or diploma",5,1,165,140,10.1083032490975,0
"220","Drummondville","24447","College, CEGEP or other non-
university certificate or
diploma",8,1,625,610,44.043321299639,0
"221","Drummondville","24447","University certificate or
diploma below bachelor level",9,1,10,40,2.88808664259928,0
"222","Drummondville","24447","University certificate,
diploma or degree at bachelor
level or above",10,1,505,505,36.4620938628159,0
"223","Granby","24450","No certificate, diploma or
degree",2,1,10,0,0,0
"224","Granby","24450","Secondary (high) school
diploma or equivalency
certificate",3,1,160,195,12.5806451612903,0
"225","Granby","24450","Apprenticeship or trades
certificate or diploma",5,1,105,75,4.83870967741935,0
"226","Granby","24450","College, CEGEP or other non-
university certificate or
diploma",8,1,590,580,37.4193548387097,0
"227","Granby","24450","University certificate or
diploma below bachelor level",9,1,30,40,2.58064516129032,0
"228","Granby","24450","University certificate,
diploma or degree at bachelor
level or above",10,1,670,660,42.5806451612903,0
"229","Saint-Hyacinthe","24452","No certificate, diploma or
degree",2,1,25,20,2.96296296296296,0
"230","Saint-Hyacinthe","24452","Secondary (high) school
diploma or equivalency
certificate",3,1,65,60,8.88888888888889,0
"231","Saint-Hyacinthe","24452","Apprenticeship or trades
certificate or diploma",5,1,25,45,6.66666666666667,0
"232","Saint-Hyacinthe","24452","College, CEGEP or other non-
university certificate or
diploma",8,1,315,320,47.4074074074074,0
"233","Saint-Hyacinthe","24452","University certificate or
diploma below bachelor level",9,1,50,10,1.48148148148148,0
"234","Saint-Hyacinthe","24452","University certificate,
diploma or degree at bachelor
level or above",10,1,205,220,32.5925925925926,0
"235","Sorel-Tracy","24454","No certificate, diploma or
degree",2,1,20,20,3.88349514563107,0
"236","Sorel-Tracy","24454","Secondary (high) school
diploma or equivalency
certificate",3,1,20,20,3.88349514563107,0
"237","Sorel-Tracy","24454","Apprenticeship or trades
certificate or diploma",5,1,30,40,7.76699029126214,0
"238","Sorel-Tracy","24454","College, CEGEP or other non-
university certificate or
diploma",8,1,235,185,35.9223300970874,0
"239","Sorel-Tracy","24454","University certificate or
diploma below bachelor level",9,1,30,30,5.8252427184466,0
"240","Sorel-Tracy","24454","University certificate,
diploma or degree at bachelor
level or above",10,1,240,220,42.7184466019417,0
"241","Joliette","24456","No certificate, diploma or
degree",2,1,30,10,1.86915887850467,0
"242","Joliette","24456","Secondary (high) school
diploma or equivalency
certificate",3,1,45,75,14.018691588785,0
