"","GEO.NAME","ALT.GEO.CODE","VIS.MIN15","VIS.MIN15.ID","V1","V2","share.tech","prop.tech","non.tech.pay","non.vismin.tech.pay","pay.gap","color"
"151","Ottawa - Gatineau","35505","Total - Visible minority",1,68740,86388.6385656095,100,9.65836043922076,50322.628399238,88808.1063474934,2419.46778188382,"1"
"152","Ottawa - Gatineau","35505","Total visible minority population",2,17780,79099.1940382452,25.8655804480652,13.1101607432532,37797.934826884,88808.1063474934,9708.91230924815,"1"
"153","Ottawa - Gatineau","35505","South Asian",3,3925,77664.7006369427,5.709921443119,19.3827160493827,39736.9234303216,88808.1063474934,11143.4057105507,"1"
"154","Ottawa - Gatineau","35505","Chinese",4,5970,85475.5075376884,8.68489962176317,27.1672354948805,40210.9840674789,88808.1063474934,3332.59880980491,"1"
"155","Ottawa - Gatineau","35505","Black",5,1970,59808.5583756345,2.86587139947629,5.492820298341,31508.750553179,88808.1063474934,28999.5479718588,"1"
"156","Ottawa - Gatineau","35505","Filipino",6,370,45821.6756756757,0.538260110561536,4.73751600512164,24759.9139784946,88808.1063474934,42986.4306718177,"1"
"157","Ottawa - Gatineau","35505","Latin American",7,810,71329.6543209877,1.17835321501309,8.51735015772871,24928.5821839081,88808.1063474934,17478.4520265057,"1"
"158","Ottawa - Gatineau","35505","Arab",8,2005,73776.897755611,2.9167878964213,10.1776649746193,30792.7386267307,88808.1063474934,15031.2085918824,"1"
"159","Ottawa - Gatineau","35505","Southeast Asian",9,1120,70832.4375,1.62932790224033,15.0841750841751,22072.5646312451,88808.1063474934,17975.6688474934,"1"
"160","Ottawa - Gatineau","35505","West Asian",10,785,63376.7707006369,1.1419842886238,15.4679802955665,19501.4836829837,88808.1063474934,25431.3356468564,"1"
"161","Ottawa - Gatineau","35505","Korean",11,240,24973.3333333333,0.349141693337213,16.7247386759582,6313.41422594141,88808.1063474934,63834.77301416,"1"
"162","Ottawa - Gatineau","35505","Japanese",12,195,0,0.283677625836485,17.4107142857143,3495.77837837837,88808.1063474934,88808.1063474934,"1"
"163","Ottawa - Gatineau","35505","Visible minority, n.i.e.",13,120,0,0.174570846668606,7.61904761904762,9918.39518900344,88808.1063474934,88808.1063474934,"1"
"164","Ottawa - Gatineau","35505","Multiple visible minorities",14,355,46079.5352112676,0.51643875472796,10.0852272727273,15358.1737756714,88808.1063474934,42728.5711362258,"1"
"165","Ottawa - Gatineau","35505","Not a visible minority",15,50965,88808.1063474934,74.1416933372127,8.84624730958828,52944.5218268891,88808.1063474934,0,"1"
"166","Kingston","35521","Total - Visible minority",1,3415,63886.7247437774,100,4.08933061908753,43289.9225294963,64342.14495114,455.420207362593,"1"
"167","Kingston","35521","Total visible minority population",2,335,28579.3731343284,9.80966325036603,5.36858974358974,26294.0812870449,64342.14495114,35762.7718168117,"1"
"168","Kingston","35521","South Asian",3,90,0,2.63543191800878,6.45161290322581,18248.091954023,64342.14495114,64342.14495114,"1"
"169","Kingston","35521","Chinese",4,90,0,2.63543191800878,7.17131474103586,22339.1502145922,64342.14495114,64342.14495114,"1"
"170","Kingston","35521","Black",5,45,0,1.31771595900439,4.83870967741935,6700.3672316384,64342.14495114,64342.14495114,"1"
"171","Kingston","35521","Filipino",6,10,0,0.292825768667643,1.81818181818182,14461.9351851852,64342.14495114,64342.14495114,"1"
"172","Kingston","35521","Latin American",7,30,0,0.878477306002928,5.55555555555556,2752.25490196084,64342.14495114,64342.14495114,"1"
"173","Kingston","35521","Arab",8,30,0,0.878477306002928,8.69565217391304,19896.6349206349,64342.14495114,64342.14495114,"1"
"174","Kingston","35521","Southeast Asian",9,30,0,0.878477306002928,8.69565217391304,3688.06349206355,64342.14495114,64342.14495114,"1"
"175","Kingston","35521","West Asian",10,30,0,0.878477306002928,13.953488372093,23153.2432432432,64342.14495114,64342.14495114,"1"
"176","Kingston","35521","Korean",11,0,NA,0,0,NA,64342.14495114,NA,"1"
"177","Kingston","35521","Japanese",12,10,0,0.292825768667643,12.5,0,64342.14495114,64342.14495114,"1"
"178","Kingston","35521","Visible minority, n.i.e.",13,0,NA,0,0,NA,64342.14495114,NA,"1"
"179","Kingston","35521","Multiple visible minorities",14,10,0,0.292825768667643,4.34782608695652,0,64342.14495114,64342.14495114,"1"
"180","Kingston","35521","Not a visible minority",15,3070,64342.14495114,89.8975109809663,3.97848765632087,42979.4054929483,64342.14495114,0,"1"
"181","Belleville","35522","Total - Visible minority",1,1470,53080.7006802721,100,2.87530562347188,38341.7341657437,53839.3816793894,758.680999117285,"1"
"182","Belleville","35522","Total visible minority population",2,100,36008.1,6.80272108843537,5.1150895140665,16716.1455525607,53839.3816793894,17831.2816793894,"1"
"183","Belleville","35522","South Asian",3,50,0,3.40136054421769,10,8229.58888888895,53839.3816793894,53839.3816793894,"1"
"184","Belleville","35522","Chinese",4,40,0,2.72108843537415,14.0350877192982,0,53839.3816793894,53839.3816793894,"1"
"185","Belleville","35522","Black",5,10,0,0.680272108843537,3.27868852459016,4144.67796610168,53839.3816793894,53839.3816793894,"1"
"186","Belleville","35522","Filipino",6,0,NA,0,0,NA,53839.3816793894,NA,"1"
"187","Belleville","35522","Latin American",7,10,0,0.680272108843537,3.63636363636364,0,53839.3816793894,53839.3816793894,"1"
"188","Belleville","35522","Arab",8,10,0,0.680272108843537,12.5,0,53839.3816793894,53839.3816793894,"1"
"189","Belleville","35522","Southeast Asian",9,10,0,0.680272108843537,5.88235294117647,0,53839.3816793894,53839.3816793894,"1"
"190","Belleville","35522","West Asian",10,0,NA,0,0,NA,53839.3816793894,NA,"1"
"191","Belleville","35522","Korean",11,0,NA,0,0,NA,53839.3816793894,NA,"1"
"192","Belleville","35522","Japanese",12,0,NA,0,0,NA,53839.3816793894,NA,"1"
"193","Belleville","35522","Visible minority, n.i.e.",13,0,NA,0,0,NA,53839.3816793894,NA,"1"
"194","Belleville","35522","Multiple visible minorities",14,0,NA,0,0,NA,53839.3816793894,NA,"1"
"195","Belleville","35522","Not a visible minority",15,1310,53839.3816793894,89.1156462585034,2.66422615415904,38298.4825532804,53839.3816793894,0,"1"
"196","Peterborough","35529","Total - Visible minority",1,2080,59825.5,100,3.45199568500539,40510.1427589171,57315.0026109661,-2510.4973890339,"1"
"197","Peterborough","35529","Total visible minority population",2,160,17889.5625,7.69230769230769,6.11854684512428,13861.2688391039,57315.0026109661,39425.4401109661,"1"
"198","Peterborough","35529","South Asian",3,35,0,1.68269230769231,4.16666666666667,6749.42857142852,57315.0026109661,57315.0026109661,"1"
"199","Peterborough","35529","Chinese",4,40,0,1.92307692307692,8.79120879120879,0,57315.0026109661,57315.0026109661,"1"
"200","Peterborough","35529","Black",5,0,NA,0,0,NA,57315.0026109661,NA,"1"
"201","Peterborough","35529","Filipino",6,30,0,1.44230769230769,9.83606557377049,3367.19999999995,57315.0026109661,57315.0026109661,"1"
"202","Peterborough","35529","Latin American",7,0,NA,0,0,NA,57315.0026109661,NA,"1"
"203","Peterborough","35529","Arab",8,10,0,0.480769230769231,11.1111111111111,0,57315.0026109661,57315.0026109661,"1"
"204","Peterborough","35529","Southeast Asian",9,0,NA,0,0,NA,57315.0026109661,NA,"1"
"205","Peterborough","35529","West Asian",10,0,NA,0,0,NA,57315.0026109661,NA,"1"
"206","Peterborough","35529","Korean",11,0,NA,0,0,NA,57315.0026109661,NA,"1"
"207","Peterborough","35529","Japanese",12,0,NA,0,0,NA,57315.0026109661,NA,"1"
"208","Peterborough","35529","Visible minority, n.i.e.",13,0,NA,0,0,NA,57315.0026109661,NA,"1"
"209","Peterborough","35529","Multiple visible minorities",14,0,NA,0,0,NA,57315.0026109661,NA,"1"
"210","Peterborough","35529","Not a visible minority",15,1915,57315.0026109661,92.0673076923077,3.32465277777778,40733.7350273862,57315.0026109661,0,"1"
"211","Oshawa","35532","Total - Visible minority",1,9820,81116.7902240326,100,4.91110499862469,50031.1546795699,83276.051608579,2159.26138454641,"1"
"212","Oshawa","35532","Total visible minority population",2,2335,71795.3190578158,23.7780040733198,7.48637383776852,37570.6198232542,83276.051608579,11480.7325507632,"1"
"213","Oshawa","35532","South Asian",3,790,59392.8101265823,8.04480651731161,10.0958466453674,24271.5238095238,83276.051608579,23883.2414819967,"1"
"214","Oshawa","35532","Chinese",4,325,50143.1692307692,3.30957230142566,11.6279069767442,16533.4129554656,83276.051608579,33132.8823778098,"1"
"215","Oshawa","35532","Black",5,440,44070.5,4.4806517311609,4.3956043956044,31054.6034482758,83276.051608579,39205.551608579,"1"
"216","Oshawa","35532","Filipino",6,190,44208.5789473684,1.93482688391039,6.79785330948122,18693.3723608445,83276.051608579,39067.4726612106,"1"
"217","Oshawa","35532","Latin American",7,165,15295.0303030303,1.68024439918534,8.82352941176471,8578.08504398831,83276.051608579,67981.0213055487,"1"
