"","tech","ALT.GEO.CODE","GEO.NAME","V1","pct","cma.focus","rownum","x","y"
"207",0,"35516","Petawawa",8905,3.20652173913043,"0",104,104,11
"208",1,"35516","Petawawa",295,3.20652173913043,"0",104,104,11
"209",0,"59915","Kelowna",99055,3.21934538348803,"0",105,105,11
"210",1,"59915","Kelowna",3295,3.21934538348803,"0",105,105,11
"211",0,"24480","Val-d'Or",16955,3.22488584474886,"0",106,106,11
"212",1,"24480","Val-d'Or",565,3.22488584474886,"0",106,106,11
"213",0,"35531","Centre Wellington",14510,3.23441147049016,"0",107,107,11
"214",1,"35531","Centre Wellington",485,3.23441147049016,"0",107,107,11
"215",0,"35590","Sault Ste. Marie",35465,3.24648751875597,"0",108,108,11
"216",1,"35590","Sault Ste. Marie",1190,3.24648751875597,"0",108,108,11
"217",0,"35575","North Bay",32995,3.28301333724168,"0",109,109,11
"218",1,"35575","North Bay",1120,3.28301333724168,"0",109,109,11
"219",0,"48828","Canmore",8340,3.30434782608696,"0",110,110,11
"220",1,"48828","Canmore",285,3.30434782608696,"0",110,110,11
"221",0,"35553","Stratford",16550,3.35766423357664,"0",111,111,11
"222",1,"35553","Stratford",575,3.35766423357664,"0",111,111,11
"223",0,"35529","Peterborough",57280,3.43083537047964,"0",112,112,11
"224",1,"35529","Peterborough",2035,3.43083537047964,"0",112,112,11
"225",0,"24442","Trois-Rivières",71470,3.6077955357745,"0",113,113,11
"226",1,"24442","Trois-Rivières",2675,3.6077955357745,"0",113,113,11
"227",0,"35568","Barrie",104310,3.63527183703635,"0",114,114,11
"228",1,"35568","Barrie",3935,3.63527183703635,"0",114,114,11
"229",0,"60990","Whitehorse",16400,3.69935408103347,"0",115,115,11
"230",1,"60990","Whitehorse",630,3.69935408103347,"0",115,115,11
"231",0,"24423","Sainte-Marie",7255,3.71599203715992,"0",116,116,11
"232",1,"24423","Sainte-Marie",280,3.71599203715992,"0",116,116,11
"233",0,"24450","Granby",40880,3.732485576357,"0",117,117,11
"234",1,"24450","Granby",1585,3.732485576357,"0",117,117,11
"235",0,"47725","Saskatoon",157620,3.82573677466593,"0",118,118,11
"236",1,"47725","Saskatoon",6270,3.82573677466593,"0",118,118,11
"237",0,"59934","Squamish",11245,3.92994446817599,"0",119,119,11
"238",1,"59934","Squamish",460,3.92994446817599,"0",119,119,11
"239",0,"59907","Nelson",9275,3.98550724637681,"0",120,120,11
"240",1,"59907","Nelson",385,3.98550724637681,"0",120,120,11
"241",0,"35521","Kingston",78225,4.11252758028929,"0",121,121,11
"242",1,"35521","Kingston",3355,4.11252758028929,"0",121,121,11
"243",0,"48860","Wood Buffalo",42885,4.15688903788133,"0",122,122,11
"244",1,"48860","Wood Buffalo",1860,4.15688903788133,"0",122,122,11
"245",0,"35562","Sarnia",43800,4.15754923413567,"0",123,123,11
"246",1,"35562","Sarnia",1900,4.15754923413567,"0",123,123,11
"247",0,"61995","Yellowknife",12030,4.1816009557945,"0",124,124,11
"248",1,"61995","Yellowknife",525,4.1816009557945,"0",124,124,11
"249",0,"24408","Saguenay",74170,4.22880754083543,"0",125,125,11
"250",1,"24408","Saguenay",3275,4.22880754083543,"0",125,125,11
"251",0,"24433","Sherbrooke",100650,4.30235322082244,"0",126,126,11
"252",1,"24433","Sherbrooke",4525,4.30235322082244,"0",126,126,11
"253",0,"35555","London",241550,4.33473930176835,"0",127,127,11
"254",1,"35555","London",10945,4.33473930176835,"0",127,127,11
"255",0,"46602","Winnipeg",398310,4.34208314320709,"0",128,128,11
"256",1,"46602","Winnipeg",18080,4.34208314320709,"0",128,128,11
"257",0,"24404","Rimouski",25795,4.37442075996293,"0",129,129,11
"258",1,"24404","Rimouski",1180,4.37442075996293,"0",129,129,11
"259",0,"13305","Moncton",74490,4.42648190916089,"0",130,130,11
"260",1,"13305","Moncton",3450,4.42648190916089,"0",130,130,11
"261",0,"35550","Guelph",82220,4.48420074349442,"0",131,131,11
"262",1,"35550","Guelph",3860,4.48420074349442,"0",131,131,11
"263",0,"35559","Windsor",149835,4.50286806883365,"0",132,132,11
"264",1,"35559","Windsor",7065,4.50286806883365,"0",132,132,11
"265",0,"48820","Okotoks",15015,4.51510333863275,"0",133,133,11
"266",1,"48820","Okotoks",710,4.51510333863275,"0",133,133,11
"267",0,"11105","Charlottetown",35390,4.54484153742414,"0",134,134,11
"268",1,"11105","Charlottetown",1685,4.54484153742414,"0",134,134,11
"269",0,"48835","Edmonton",710995,4.60988388083531,"0",135,135,11
"270",1,"48835","Edmonton",34360,4.60988388083531,"0",135,135,11
"271",0,"35537","Hamilton",368565,4.70693176823435,"0",136,136,11
"272",1,"35537","Hamilton",18205,4.70693176823435,"0",136,136,11
"273",0,"35507","Arnprior",7850,4.79078229229836,"0",137,137,11
"274",1,"35507","Arnprior",395,4.79078229229836,"0",137,137,11
"275",0,"35532","Oshawa",188205,4.94456930730574,"0",138,138,11
"276",1,"35532","Oshawa",9790,4.94456930730574,"0",138,138,11
"277",0,"13310","Saint John",60180,5.27309932315442,"0",139,139,11
"278",1,"13310","Saint John",3350,5.27309932315442,"0",139,139,11
"279",0,"59935","Victoria",184635,5.50679393024387,"0",140,140,11
"280",1,"59935","Victoria",10760,5.50679393024387,"0",140,140,11
"281",0,"47705","Regina",124570,5.560820287328,"0",141,141,11
"282",1,"47705","Regina",7335,5.560820287328,"0",141,141,11
"283",0,"12205","Halifax",208675,5.9408172004237,"0",142,142,11
"284",1,"12205","Halifax",13180,5.9408172004237,"0",142,142,11
"285",0,"10001","St. John's",104380,5.98090434156008,"0",143,143,11
"286",1,"10001","St. John's",6640,5.98090434156008,"0",143,143,11
"287",0,"59933","Vancouver",1248965,6.12814731304021,"0",144,144,11
"288",1,"59933","Vancouver",81535,6.12814731304021,"0",144,144,11
"289",0,"24462","Montréal",1987040,6.5924560941672,"0",145,145,11
"290",1,"24462","Montréal",140240,6.5924560941672,"0",145,145,11
"291",0,"24421","Québec",401975,6.77435439544511,"0",146,146,11
"292",1,"24421","Québec",29210,6.77435439544511,"0",146,146,11
"293",0,"35541","Kitchener - Cambridge - Waterloo",265215,6.97148268967694,"0",147,147,11
"294",1,"35541","Kitchener - Cambridge - Waterloo",19875,6.97148268967694,"0",147,147,11
"295",0,"35509","Carleton Place",15585,7.09388971684054,"0",148,148,11
"296",1,"35509","Carleton Place",1190,7.09388971684054,"0",148,148,11
"297",0,"13320","Fredericton",50415,7.17179156693058,"0",149,149,11
"298",1,"13320","Fredericton",3895,7.17179156693058,"0",149,149,11
"299",0,"35535","Toronto",2906115,7.56631679389313,"1",150,150,11
"300",1,"35535","Toronto",237885,7.56631679389313,"1",150,150,11
"301",0,"48825","Calgary",737190,7.87025176057438,"0",151,151,11
"302",1,"48825","Calgary",62975,7.87025176057438,"0",151,151,11
"303",0,"35505","Ottawa - Gatineau",640485,9.78067951318458,"0",152,152,11
"304",1,"35505","Ottawa - Gatineau",69435,9.78067951318458,"0",152,152,11
